"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"June",1995,53.906757,55.100777,51.51425,54.441513,53.792683,56.45505,64.72609,74.9017,78.525276,81.72389,87.09533,68.839
"June",1996,58.36841,52.49745,54.220314,58.75627,56.775394,68.65581,79.49594,84.84865,86.51125,87.28759,80.06653,54.08524
"June",1997,49.09629,54.30356,62.29761,71.04732,77.29771,78.17737,79.5936,84.69208,87.00818,87.89405,87.73701,82.96579
"June",1998,54.873756,49.69671,53.031742,55.94688,54.275234,54.00946,61.672462,69.23013,70.037346,71.79351,65.76773,62.194824
"June",1999,59.937172,53.049873,54.582653,62.83938,64.549805,70.700874,78.81734,84.7754,86.31072,87.70759,88.85916,86.90114
"June",2000,66.10881,52.690243,53.54615,63.395107,68.92804,75.71001,80.94237,85.99835,89.778656,88.30862,89.10076,88.697075
"June",2001,81.027306,66.86525,64.23456,72.58763,79.44646,82.51884,86.89698,91.42603,91.99386,92.07911,89.65752,64.2698
"June",2002,57.657784,64.65244,66.52881,74.76278,79.876076,82.10479,85.63679,89.61754,91.60036,92.20112,91.0053,63.249565
"June",2003,55.646214,62.272816,64.89919,60.609684,60.017403,71.70667,80.11273,85.52809,86.33638,87.70663,89.163605,68.99107
"June",2004,61.341534,53.99527,56.63167,69.017914,79.316216,83.074,83.04627,87.66066,89.94387,88.488106,88.63473,77.81715
"June",2005,60.12191,61.846474,57.76155,63.348145,56.830788,62.99473,78.646126,86.12661,85.92325,87.30132,89.70447,56.94508
"June",2006,52.39741,55.10178,52.73734,52.18312,54.533,62.851055,74.297905,81.57983,82.30856,85.35685,88.34408,82.34288
"June",2007,82.93488,65.640396,67.70277,75.844696,79.66393,82.50234,86.841934,90.78586,90.658394,91.55276,90.8204,88.89379
"June",2008,69.30802,64.18747,70.762024,78.27168,82.73544,84.0333,87.780464,91.551704,92.762726,93.90434,93.72569,91.51032
"June",2009,89.0304,69.68252,62.224888,68.63288,76.55106,79.25742,83.6228,88.39887,91.584305,91.28651,92.18229,91.15099
"June",2010,67.77287,59.21397,64.40446,63.180847,65.94788,70.87899,81.53232,86.68846,87.479004,83.83802,83.05342,58.283623
"June",2011,60.350765,60.036354,52.82495,55.97459,57.672935,56.10436,65.12092,74.390495,77.17932,76.72799,82.94158,87.71652
"June",2012,84.10131,81.89849,63.29483,62.151646,71.479324,81.073265,82.586876,86.51533,89.726685,91.7838,89.81009,58.374435
"June",2013,65.62892,67.97561,74.642525,79.15816,80.08816,82.26846,85.967064,90.370415,92.07151,91.3585,92.74392,90.50981
"June",2014,89.401344,81.943825,72.591324,77.28132,86.156525,90.31911,93.097084,93.42068,93.02485,93.9939,92.78181,65.71231
"MaxDS_Even",1995,54.274002,55.138832,51.46811,54.457912,53.79979,56.441563,63.63374,65.495125,73.773735,73.90243,81.64942,67.78321
"MaxDS_Even",1996,59.9877,52.732853,54.279255,58.813828,56.798435,64.039856,66.09661,65.78648,73.97399,73.96483,79.48007,56.063477
